stage,file,line,gate_name,input,condition,accept_output,reject_output,reason_code,logged,tested
decision,services/execution/decision_pipeline.py,154,volatility,ast_node,"self._skipped( reason=""technical_signals_insufficient"", reference_price=reference_price, latest=latest, signals=[], ensemble=None, atr=atr, volatility={**volatility, ""signal_count"": 0}, )",fallthrough,"self._skipped( reason=""technical_signals_insufficient"", reference_price=reference_price, latest=latest, signals=[], ensemble=None, atr=atr, volatility={**volatility, ""signal_count"": 0}, )",unknown,yes,yes
decision,services/execution/decision_pipeline.py,165,enabled,ast_node,settings.market_intelligence_enabled and strategy_allows_market_intelligence,fallthrough,branch,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,186,enabled,ast_node,"""mtf_ma"" in enabled_signals",fallthrough,branch,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,199,volatility,ast_node,"self._skipped( reason=""multi_timeframe_disagreement"", reference_price=reference_price, latest=latest, signals=signals, ensemble=None, atr=atr, volatility={**volatility, ""multi_timeframe"": multi_timeframe}, )",fallthrough,"self._skipped( reason=""multi_timeframe_disagreement"", reference_price=reference_price, latest=latest, signals=signals, ensemble=None, atr=atr, volatility={**volatility, ""multi_timeframe"": multi_timeframe}, )",unknown,yes,yes
decision,services/execution/decision_pipeline.py,223,discard,ast_node,"self._skipped( reason=""ensemble_discarded"", reference_price=reference_price, latest=latest, signals=signals, ensemble=ensemble, atr=atr, volatility=volatility, )",fallthrough,"self._skipped( reason=""ensemble_discarded"", reference_price=reference_price, latest=latest, signals=signals, ensemble=ensemble, atr=atr, volatility=volatility, )",unknown,yes,yes
decision,services/execution/decision_pipeline.py,262,volatility,ast_node,"self._skipped( reason=""meta_label_bet_skipped"", reference_price=reference_price, latest=latest, signals=signals, ensemble=ensemble, meta_label=meta_label, atr=atr, volatility=volatility, )",fallthrough,"self._skipped( reason=""meta_label_bet_skipped"", reference_price=reference_price, latest=latest, signals=signals, ensemble=ensemble, meta_label=meta_label, atr=atr, volatility=volatility, )",unknown,yes,yes
decision,services/execution/decision_pipeline.py,319,veto,ast_node,"DecisionPipelineResult( direction=ensemble.fused_direction, should_trade=not (veto_result is not None and veto_result.veto), reason=""llm_veto"" if veto_result is not None and veto_result.veto else ""ensemble_meta_label_passed"", reference_price=reference_price, bar_time=latest.timestamp if latest else None, signals=signals, ensemble=ensemble, meta_label=meta_label, veto_result=veto_result, confidence_multiplier=max(min(confidence * size_fraction, 1.0), 0.0), atr=atr, volatility_context=volatility, ",fallthrough,"DecisionPipelineResult( direction=ensemble.fused_direction, should_trade=not (veto_result is not None and veto_result.veto), reason=""llm_veto"" if veto_result is not None and veto_result.veto else ""ensemble_meta_label_passed"", reference_price=reference_price, bar_time=latest.timestamp if latest else None, signals=signals, ensemble=ensemble, meta_label=meta_label, veto_result=veto_result, confidence_multiplier=max(min(confidence * size_fraction, 1.0), 0.0), atr=atr, volatility_context=volatility, ",unknown,unknown,yes
decision,services/execution/decision_pipeline.py,345,enabled,ast_node,"""macd"" in enabled_signals",fallthrough,branch,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,347,enabled,ast_node,"""dow_trend"" in enabled_signals",fallthrough,branch,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,349,enabled,ast_node,"""price_action"" in enabled_signals",fallthrough,branch,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,351,enabled,ast_node,"""false_breakout"" in enabled_signals",fallthrough,branch,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,353,enabled,ast_node,"""rsi"" in enabled_signals",fallthrough,branch,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,355,enabled,ast_node,"""ema_trend"" in enabled_signals",fallthrough,branch,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,357,enabled,ast_node,"""adx"" in enabled_signals",fallthrough,branch,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,359,enabled,ast_node,"""vwap"" in enabled_signals",fallthrough,branch,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,361,enabled,ast_node,"""bollinger"" in enabled_signals",fallthrough,branch,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,363,enabled,ast_node,"""fvg"" in enabled_signals",fallthrough,branch,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,378,continue,ast_node,continue,fallthrough,skip_current_item,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,394,return,ast_node,None,fallthrough,None,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,411,return,ast_node,None,fallthrough,None,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,509,veto,ast_node,not enable_decision_veto,fallthrough,branch,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,510,veto,ast_node,"DecisionVetoResult( veto=False, veto_reason=""decision veto disabled for this Paper request"", checked_at=datetime.now(UTC), )",fallthrough,"DecisionVetoResult( veto=False, veto_reason=""decision veto disabled for this Paper request"", checked_at=datetime.now(UTC), )",unknown,yes,yes
decision,services/execution/decision_pipeline.py,516,veto,ast_node,"DecisionVetoResult( veto=False, veto_reason=""decision veto agent repository unavailable -> advisory unavailable"", checked_at=datetime.now(UTC), )",fallthrough,"DecisionVetoResult( veto=False, veto_reason=""decision veto agent repository unavailable -> advisory unavailable"", checked_at=datetime.now(UTC), )",unknown,yes,yes
decision,services/execution/decision_pipeline.py,521,veto,ast_node,"_daily_veto_calls(self.agent_repo, datetime.now(UTC).date()) >= settings.decision_veto_daily_budget",fallthrough,branch,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,551,veto,ast_node,"DecisionVetoResult( veto=False, veto_reason=""decision veto daily budget exceeded -> advisory unavailable"", checked_at=datetime.now(UTC), agent_task_ref=task.agent_task_id, )",fallthrough,"DecisionVetoResult( veto=False, veto_reason=""decision veto daily budget exceeded -> advisory unavailable"", checked_at=datetime.now(UTC), agent_task_ref=task.agent_task_id, )",unknown,yes,yes
decision,services/execution/decision_pipeline.py,613,veto,ast_node,"DecisionVetoResult( veto=False, veto_reason=""invalid veto payload -> advisory unavailable"", agent_task_ref=task.agent_task_id, )",fallthrough,"DecisionVetoResult( veto=False, veto_reason=""invalid veto payload -> advisory unavailable"", agent_task_ref=task.agent_task_id, )",unknown,yes,yes
decision,services/execution/decision_pipeline.py,622,veto,ast_node,"DecisionVetoResult( veto=bool(high_risk_events), veto_reason=( ""high severity risk event present"" if high_risk_events else str(payload.get(""veto_reason"", ""llm advisory completed"")) ), checked_at=datetime.now(UTC), agent_task_ref=task.agent_task_id, )",fallthrough,"DecisionVetoResult( veto=bool(high_risk_events), veto_reason=( ""high severity risk event present"" if high_risk_events else str(payload.get(""veto_reason"", ""llm advisory completed"")) ), checked_at=datetime.now(UTC), agent_task_ref=task.agent_task_id, )",unknown,yes,yes
decision,services/execution/decision_pipeline.py,650,veto,ast_node,"DecisionPipelineResult( direction=ensemble.fused_direction if ensemble else None, should_trade=False, reason=reason, reference_price=reference_price, bar_time=latest.timestamp if latest else None, signals=signals, ensemble=ensemble, meta_label=meta_label, veto_result=None, confidence_multiplier=0.5, # Conservative fallback instead of 0.0 atr=atr, volatility_context=volatility, trace=_trace( status=reason, signals=signals, ensemble=ensemble, meta_label=meta_label, veto_result=None, volatility=vol",fallthrough,"DecisionPipelineResult( direction=ensemble.fused_direction if ensemble else None, should_trade=False, reason=reason, reference_price=reference_price, bar_time=latest.timestamp if latest else None, signals=signals, ensemble=ensemble, meta_label=meta_label, veto_result=None, confidence_multiplier=0.5, # Conservative fallback instead of 0.0 atr=atr, volatility_context=volatility, trace=_trace( status=reason, signals=signals, ensemble=ensemble, meta_label=meta_label, veto_result=None, volatility=vol",unknown,unknown,yes
decision,services/execution/decision_pipeline.py,745,return,ast_node,None,fallthrough,None,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,784,return,ast_node,None,fallthrough,None,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,803,paper,ast_node,"strategy.strategy_key == ""auto_paper_mature_templates""",fallthrough,branch,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,871,veto,ast_node,"task.agent_type == ""decision_veto_agent"" and task.task_type == ""pre_execution_veto_llm"" and created_at is not None and created_at.date() == day",fallthrough,branch,unknown,unknown,yes
decision,services/execution/decision_pipeline.py,891,veto,ast_node,"{ ""pipeline_status"": status, ""strategy_lane"": strategy_lane, ""signals"": [signal.model_dump(mode=""json"") for signal in signals], ""ensemble"": ensemble.model_dump(mode=""json"") if ensemble is not None else None, ""meta_label"": meta_label.model_dump(mode=""json"") if meta_label is not None else None, ""veto_result"": veto_result.model_dump(mode=""json"") if veto_result is not None else None, ""volatility"": volatility, }",fallthrough,"{ ""pipeline_status"": status, ""strategy_lane"": strategy_lane, ""signals"": [signal.model_dump(mode=""json"") for signal in signals], ""ensemble"": ensemble.model_dump(mode=""json"") if ensemble is not None else None, ""meta_label"": meta_label.model_dump(mode=""json"") if meta_label is not None else None, ""veto_result"": veto_result.model_dump(mode=""json"") if veto_result is not None else None, ""volatility"": volatility, }",unknown,unknown,yes
decision,services/execution/paper_signal.py,129,veto,ast_node,not decision.should_trade and veto_result is None,fallthrough,branch,unknown,unknown,yes
decision,services/execution/paper_signal.py,224,paper,ast_node,"_is_link_verification_strategy(rules=rules, paper_run=paper_run)",fallthrough,branch,unknown,unknown,yes
decision,services/execution/paper_signal.py,229,paper,ast_node,"_is_cross_sectional_strategy(rules=rules, paper_run=paper_run)",fallthrough,branch,unknown,unknown,yes
decision,services/execution/paper_signal.py,236,paper,ast_node,"_is_carry_strategy(rules=rules, paper_run=paper_run)",fallthrough,branch,unknown,unknown,yes
