symbol,side,opened_at,closed_at,entry_price,exit_price,stop_price,take_price,exit_reason,gross_return,net_return,fee_bps,slippage_bps,r_multiple,quantity_fraction,ladder_r,mae_r,mfe_r,bars_to_mfe,bars_held
BTC/USDT,short,2025-07-31T17:15:00+00:00,2025-07-31T22:45:00+00:00,117900.0,112005.0,120847.5,112005.0,takeprofit,0.05,0.0488,10.0,2.0,2.0,1.0,,-0.12166242578456517,2.0,22,22
BTC/USDT,short,2025-07-31T23:15:00+00:00,2025-07-31T23:30:00+00:00,111889.9,114687.1475,114687.1475,106295.405,stoploss,-0.02500000000000011,-0.02620000000000011,10.0,2.0,-1.0,1.0,,-1.0,0.0,0,1
ETH/USDT,short,2025-08-01T08:00:00+00:00,2025-08-01T10:45:00+00:00,3657.9,3749.3475,3749.3475,3475.005,stoploss,-0.024999999999999935,-0.026199999999999935,10.0,2.0,-1.0,1.0,,-1.0,0.8498865469258368,3,11
ETH/USDT,short,2025-08-01T14:45:00+00:00,2025-08-01T20:00:00+00:00,3645.49,3736.62725,3736.62725,3463.2155,stoploss,-0.025000000000000064,-0.026200000000000064,10.0,2.0,-1.0,1.0,,-1.0,0.9380357647394405,5,21
BTC/USDT,short,2025-07-31T23:30:00+00:00,2025-08-02T06:00:00+00:00,115987.3,110187.935,118886.9825,110187.935,takeprofit,0.050000000000000044,0.048800000000000045,10.0,2.0,2.000000000000005,1.0,,-0.3492106463380018,2.000000000000005,122,122
ETH/USDT,short,2025-08-02T05:15:00+00:00,2025-08-02T06:00:00+00:00,3699.98,3792.4795,3792.4795,3514.981,stoploss,-0.024999999999999974,-0.026199999999999973,10.0,2.0,-1.0,1.0,,-1.0,1.437629392591313,1,3
ETH/USDT,short,2025-08-02T18:45:00+00:00,2025-08-03T01:45:00+00:00,3572.38,3393.761,3661.6895,3393.761,takeprofit,0.05000000000000004,0.04880000000000004,10.0,2.0,2.000000000000005,1.0,,-0.30926161270637437,2.000000000000005,28,28
ETH/USDT,short,2025-08-03T01:45:00+00:00,2025-08-03T02:00:00+00:00,3095.25,3172.63125,3172.63125,2940.4875,stoploss,-0.02499999999999997,-0.02619999999999997,10.0,2.0,-1.0,1.0,,-1.0,0.0,0,1
ETH/USDT,short,2025-08-03T02:00:00+00:00,2025-08-03T02:30:00+00:00,3400.0,3485.0,3485.0,3230.0,stoploss,-0.025,-0.0262,10.0,2.0,-1.0,1.0,,-1.0,0.059882352941178184,1,2
ETH/USDT,short,2025-08-03T02:30:00+00:00,2025-08-03T02:45:00+00:00,3587.9,3408.505,3677.5975,3408.505,takeprofit,0.049999999999999996,0.048799999999999996,10.0,2.0,2.0000000000000053,1.0,,0.0,2.000000000000005,1,1
ETH/USDT,short,2025-08-03T02:45:00+00:00,2025-08-03T03:00:00+00:00,3440.4,3268.38,3526.41,3268.38,takeprofit,0.049999999999999996,0.048799999999999996,10.0,2.0,2.0000000000000053,1.0,,0.0,2.0000000000000053,1,1
ETH/USDT,short,2025-08-03T03:00:00+00:00,2025-08-03T03:15:00+00:00,3440.35,3526.35875,3526.35875,3268.3325,stoploss,-0.02499999999999999,-0.02619999999999999,10.0,2.0,-1.0,1.0,,-1.0,0.0,0,1
ETH/USDT,short,2025-08-03T22:45:00+00:00,2025-08-05T07:30:00+00:00,3680.0,3496.0,3772.0,3496.0,takeprofit,0.05,0.0488,10.0,2.0,2.0,1.0,,-0.7608695652173914,2.0,131,131
BTC/USDT,short,2025-08-02T06:15:00+00:00,2025-08-06T01:45:00+00:00,113767.1,116611.2775,116611.2775,108078.745,stoploss,-0.024999999999999918,-0.026199999999999918,10.0,2.0,-1.0,1.0,,-1.0,1.3244953945384978,2,366
