commission,exchange_event_time,order_id,position_side,price,quantity,realized_pnl,side,strategy,symbol,trade_id,v2_matched
2.79988800,2026-07-07T16:52:55.936000+00:00,19874536754,BOTH,64100,0.2184,0,SELL,,BTC/USDT,514388947,False
5.49446352,2026-07-08T02:03:02.266000+00:00,19881919218,BOTH,62894.50,0.2184,263.28120000,BUY,,BTC/USDT,514550110,False
0.02484240,2026-07-08T14:23:08.658000+00:00,20127514836,BOTH,62106,0.0010,0,BUY,,BTC/USDT,514782591,False
0.02484240,2026-07-08T14:23:23.233000+00:00,20127558380,BOTH,62106,0.0010,0,BUY,,BTC/USDT,514782699,False
0.02484000,2026-07-08T14:23:40.824000+00:00,20127623987,BOTH,62100,0.0010,0,BUY,,BTC/USDT,514782853,False
0.02483264,2026-07-08T14:24:23.222000+00:00,20127756430,BOTH,62081.60,0.0010,0,BUY,,BTC/USDT,514783321,False
0.02482320,2026-07-08T14:25:21.931000+00:00,20127948601,BOTH,62058,0.0010,0,BUY,,BTC/USDT,514783703,False
0.01984352,2026-07-08T14:28:57.170000+00:00,20128622805,BOTH,62011,0.0008,-0.06345600,SELL,,BTC/USDT,514784929,False
0.19835744,2026-07-08T14:29:57.067000+00:00,20128804499,BOTH,61986.70,0.0080,-0.43520400,SELL,,BTC/USDT,514785302,False
0.09413086,2026-07-08T14:35:52.913000+00:00,20129930545,BOTH,61928.20,0.0038,0.22230000,BUY,,BTC/USDT,514788627,False
0.19805216,2026-07-08T14:36:54.653000+00:00,20130135281,BOTH,61891.30,0.0080,0,SELL,,BTC/USDT,514789052,False
0.02476568,2026-07-08T14:37:08.377000+00:00,20130173086,BOTH,61914.20,0.0010,-0.02290000,BUY,,BTC/USDT,514789123,False
0.02476568,2026-07-08T14:37:14.636000+00:00,20130188918,BOTH,61914.20,0.0010,-0.02290000,BUY,,BTC/USDT,514789176,False
0.02476568,2026-07-08T14:37:21.317000+00:00,20130209314,BOTH,61914.20,0.0010,-0.02290000,BUY,,BTC/USDT,514789201,False
0.12389740,2026-07-08T14:41:58.564000+00:00,20131095725,BOTH,61948.70,0.0050,-0.28700000,BUY,,BTC/USDT,514790741,False
0.19804640,2026-07-08T14:45:20.618000+00:00,20131731511,BOTH,61889.50,0.0080,0,BUY,,BTC/USDT,514792033,False
0.02474956,2026-07-08T14:45:38.992000+00:00,20131791221,BOTH,61873.90,0.0010,0,BUY,,BTC/USDT,514792398,False
0.19786304,2026-07-08T14:46:25.477000+00:00,20131937374,BOTH,61832.20,0.0080,-0.44453333,SELL,,BTC/USDT,514792793,False
0.19806624,2026-07-08T14:52:32.948000+00:00,20133152107,BOTH,61895.70,0.0080,0,BUY,,BTC/USDT,514796576,False
0.19780064,2026-07-08T14:53:37.362000+00:00,20133355917,BOTH,61812.70,0.0080,-0.65694814,SELL,,BTC/USDT,514797392,False
0.19810272,2026-07-08T14:54:41.671000+00:00,20133559949,BOTH,61907.10,0.0080,0,BUY,,BTC/USDT,514798017,False
0.19781120,2026-07-08T14:59:44.801000+00:00,20134544630,BOTH,61816,0.0080,-0.71788312,SELL,,BTC/USDT,514801859,False
0.02225728,2026-07-08T15:04:55.066000+00:00,20135544062,BOTH,61825.80,0.0009,0,BUY,,BTC/USDT,514803803,False
0.17565030,2026-07-08T15:04:55.066000+00:00,20135544062,BOTH,61848.70,0.0071,0,BUY,,BTC/USDT,514803804,False
0.05438065,2026-07-08T15:06:00.468000+00:00,20135748281,BOTH,61796.20,0.0022,-0.12440398,SELL,,BTC/USDT,514804466,False
0.14332472,2026-07-08T15:06:00.468000+00:00,20135748281,BOTH,61777.90,0.0058,-0.43411414,SELL,,BTC/USDT,514804467,False
0.02219367,2026-07-08T15:58:06.431000+00:00,20146087811,BOTH,61649.10,0.0009,-0.18328253,SELL,,BTC/USDT,514828467,False
0.02514988,2026-07-09T09:50:17.215000+00:00,20356862614,BOTH,62874.70,0.0010,0,BUY,,BTC/USDT,515124526,False
0.02514580,2026-07-09T09:50:20.751000+00:00,20356874963,BOTH,62864.50,0.0010,0.08270479,SELL,,BTC/USDT,515124550,False
0.00251496,2026-07-09T09:50:25.521000+00:00,20356888777,BOTH,62874.20,0.0001,0.00924047,SELL,,BTC/USDT,515124568,False
0.02509576,2026-07-09T14:37:26.425000+00:00,20413261742,BOTH,62739.40,0.0010,0,BUY,,BTC/USDT,515199373,False
0.02509052,2026-07-09T14:37:30.427000+00:00,20413273273,BOTH,62726.30,0.0010,-0.01310000,SELL,,BTC/USDT,515199389,False
0.02564796,2026-07-10T08:18:22.812000+00:00,20609572232,BOTH,64119.90,0.0010,0,BUY,,BTC/USDT,515516978,False
0.02564032,2026-07-10T08:18:28.279000+00:00,20609589325,BOTH,64100.80,0.0010,-0.01910000,SELL,,BTC/USDT,515517022,False
0.05128000,2026-07-11T16:42:23.661000+00:00,20951464859,BOTH,64100,0.0020,0,BUY,,BTC/USDT,516037311,False
0.26158104,2026-07-11T16:42:23.661000+00:00,20951464859,BOTH,64113,0.0102,0,BUY,,BTC/USDT,516037312,False
0.31276017,2026-07-11T16:42:24.562000+00:00,20951467748,BOTH,64090.20,0.0122,-0.25216000,SELL,,BTC/USDT,516037316,False
0.31493995,2026-07-11T16:42:27.047000+00:00,12902052450,BOTH,1818.36,0.433,0,BUY,,ETH/USDT,301052357,False
0.00872049,2026-07-11T16:42:27.941000+00:00,12902054026,BOTH,1816.77,0.012,-0.01908000,SELL,,ETH/USDT,301052358,False
0.01526061,2026-07-11T16:42:27.941000+00:00,12902054026,BOTH,1816.74,0.021,-0.03402000,SELL,,ETH/USDT,301052359,False
0.01090044,2026-07-11T16:42:27.941000+00:00,12902054026,BOTH,1816.74,0.015,-0.02430000,SELL,,ETH/USDT,301052360,False
0.01453392,2026-07-11T16:42:27.941000+00:00,12902054026,BOTH,1816.74,0.020,-0.03240000,SELL,,ETH/USDT,301052361,False
0.26524404,2026-07-11T16:42:27.941000+00:00,12902054026,BOTH,1816.74,0.365,-0.59130000,SELL,,ETH/USDT,301052362,False
0.02572660,2026-07-11T17:38:29.350000+00:00,20961187092,BOTH,64316.50,0.0010,0,BUY,,BTC/USDT,516053777,False
0.02058374,2026-07-11T17:38:29.350000+00:00,20961187092,BOTH,64324.20,0.0008,0,BUY,,BTC/USDT,516053778,False
0.02571292,2026-07-11T17:38:30.249000+00:00,20961190059,BOTH,64282.30,0.0010,-0.03762222,SELL,,BTC/USDT,516053783,False
0.02056512,2026-07-11T17:38:30.249000+00:00,20961190059,BOTH,64266,0.0008,-0.04313777,SELL,,BTC/USDT,516053784,False
0.04742634,2026-07-11T17:38:32.649000+00:00,12907543230,BOTH,1824.09,0.065,0,BUY,,ETH/USDT,301069930,False
0.04742374,2026-07-11T17:38:33.555000+00:00,12907544649,BOTH,1823.99,0.065,-0.00650000,SELL,,ETH/USDT,301069932,False
0.04599086,2026-07-12T08:05:45.540000+00:00,21112828768,BOTH,63876.20,0.0018,0,BUY,,BTC/USDT,516260695,False
0.04599064,2026-07-12T08:05:46.409000+00:00,21112831586,BOTH,63875.90,0.0018,-0.00054000,SELL,,BTC/USDT,516260696,False
0.04755379,2026-07-12T08:05:47.704000+00:00,12993034977,BOTH,1801.28,0.066,0,BUY,,ETH/USDT,301329343,False
0.04753689,2026-07-12T08:05:48.566000+00:00,12993037021,BOTH,1800.64,0.066,-0.04223999,SELL,,ETH/USDT,301329348,False
0.04605120,2026-07-12T08:08:55.102000+00:00,21113385636,BOTH,63960,0.0018,0,BUY,,BTC/USDT,516262280,False
0.01790216,2026-07-12T08:08:56.788000+00:00,21113392484,BOTH,63936.30,0.0007,-0.01659000,SELL,,BTC/USDT,516262294,False
0.02812581,2026-07-12T08:08:56.788000+00:00,21113392484,BOTH,63922.30,0.0011,-0.04147000,SELL,,BTC/USDT,516262295,False
0.04764408,2026-07-12T08:08:58.072000+00:00,12993344057,BOTH,1804.70,0.066,0,BUY,,ETH/USDT,301331104,False
0.04760052,2026-07-12T08:08:58.932000+00:00,12993345646,BOTH,1803.05,0.066,-0.10890000,SELL,,ETH/USDT,301331107,False
0.05884688,2026-07-12T11:50:49.148000+00:00,21153127030,BOTH,63964,0.0023,0,BUY,,BTC/USDT,516312483,False
0.03969922,2026-07-12T11:50:50.466000+00:00,13015370212,BOTH,1804.51,0.055,0,BUY,,ETH/USDT,301391041,False
0.05884872,2026-07-12T11:56:42.510000+00:00,21154197505,BOTH,63966,0.0023,0,BUY,,BTC/USDT,516313432,False
0.03969130,2026-07-12T11:56:43.843000+00:00,13015965205,BOTH,1804.15,0.055,0,BUY,,ETH/USDT,301393326,False
0.05884872,2026-07-12T11:57:00.242000+00:00,21154251064,BOTH,63966,0.0023,0,BUY,,BTC/USDT,516313473,False
0.03969130,2026-07-12T11:57:01.575000+00:00,13015991262,BOTH,1804.15,0.055,0,BUY,,ETH/USDT,301393369,False
0.11769081,2026-07-12T11:57:37.917000+00:00,21154368315,BOTH,63962.40,0.0046,-0.01349333,SELL,,BTC/USDT,516313570,False
0.07938172,2026-07-12T11:57:38.774000+00:00,13016055639,BOTH,1804.13,0.110,-0.01540000,SELL,,ETH/USDT,301393459,False
0.05796552,2026-07-13T03:19:02.123000+00:00,21317691474,BOTH,63006,0.0023,-2.20646666,SELL,,BTC/USDT,516564607,False
0.04127419,2026-07-14T14:56:31.899000+00:00,13298955902,BOTH,1876.10,0.055,3.95065000,SELL,,ETH/USDT,302282022,False
0.00714780,2026-07-14T22:22:09.415000+00:00,13305535234,BOTH,1881,0.019,0,SELL,,ETH/USDT,302406092,False
0.00413820,2026-07-14T22:22:09.454000+00:00,13305535234,BOTH,1881,0.011,0,SELL,,ETH/USDT,302406093,False
0.75051900,2026-07-14T22:22:09.671000+00:00,13305535234,BOTH,1881,1.995,0,SELL,,ETH/USDT,302406094,False
5.76338400,2026-07-14T22:22:09.729000+00:00,13305535234,BOTH,1881,15.320,0,SELL,,ETH/USDT,302406095,False
15.65713346,2026-07-14T22:28:48.084000+00:00,21708773997,BOTH,64945.80,0.6027,0,SELL,,BTC/USDT,517214146,False
13.32096000,2026-07-15T12:54:58.803000+00:00,13336629930,BOTH,1920,17.345,-676.45500000,BUY,,ETH/USDT,302659981,False
0.20399917,2026-07-16T01:03:56.493000+00:00,22001798736,BOTH,64556.70,0.0079,3.07389000,BUY,,BTC/USDT,517731923,False
15.35935385,2026-07-16T01:03:56.493000+00:00,22001798736,BOTH,64556.80,0.5948,231.37720000,BUY,,BTC/USDT,517731924,False
0.03876840,2026-07-16T01:09:38.498000+00:00,22002648928,BOTH,64614,0.0015,0,BUY,,BTC/USDT,517733708,False
0.03873906,2026-07-16T01:13:24.405000+00:00,22003225406,BOTH,64565.10,0.0015,-0.07335000,SELL,,BTC/USDT,517734668,False
0.03876144,2026-07-16T01:14:55.906000+00:00,22003441307,BOTH,64602.40,0.0015,0,BUY,,BTC/USDT,517735052,False
0.03868386,2026-07-16T01:20:29.011000+00:00,22004330934,BOTH,64473.10,0.0015,-0.19395000,SELL,,BTC/USDT,517737835,False
0.01290106,2026-07-16T01:21:59.109000+00:00,22004526655,BOTH,64505.30,0.0010,0,BUY,,BTC/USDT,517738213,False
0.00645053,2026-07-16T01:21:59.165000+00:00,22004526655,BOTH,64505.30,0.0005,0,BUY,,BTC/USDT,517738214,False
0.03868386,2026-07-16T01:23:33.252000+00:00,22004746423,BOTH,64473.10,0.0015,-0.04830000,SELL,,BTC/USDT,517738576,False
0.01383847,2026-07-16T05:36:54.794000+00:00,13483649962,BOTH,1922.01,0.018,0,BUY,,ETH/USDT,303011477,False
0.01537608,2026-07-16T05:36:54.794000+00:00,13483649962,BOTH,1922.01,0.020,0,BUY,,ETH/USDT,303011478,False
