key,reason,record_type,source
BTC/USDT/514388947,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514550110,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514782591,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514782699,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514782853,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514783321,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514783703,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514784929,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514785302,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514788627,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514789052,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514789123,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514789176,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514789201,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514790741,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514792033,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514792398,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514792793,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514796576,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514797392,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/514798017,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
